name,longsequence,targetPair
ATMOSPHERE,5,47
MUSE,5,62
HARLEM,5,59
FELIPE,5,92
HERMINE,5,16
EWINE,5,36
CAUET,5,82
MAKO,5,42
0,5,81
BOBO,5,37
VIOLETTE,5,28
DORA,5,83
FEYA,5,87
LIPS,5,56
ARTICHO,5,48
MALI,5,87
FLUTE,5,78
DREAM,5,67
ARIELLE,5,35
PETOULETTE,5,73
FANA,5,28
ANGELE,5,17
NEKKE,5,53
KALI,5,83
LOME,5,54
PIPO,5,12
ATMOSPHERE,4,12
MUSE,4,91
HARLEM,4,84
FELIPE,4,46
HERMINE,4,94
EWINE,4,97
CAUET,4,94
MAKO,4,89
0,4,52
BOBO,4,89
VIOLETTE,4,75
DORA,4,26
FEYA,4,64
LIPS,4,48
ARTICHO,4,56
MALI,4,34
FLUTE,4,16
DREAM,4,83
ARIELLE,4,69
PETOULETTE,4,26
FANA,4,15
ANGELE,4,64
NEKKE,4,91
KALI,4,67
LOME,4,17
PIPO,4,53
