babName	 group	 strucOrder	 reg1	 reg1RT	 reg2	 reg2RT	 reg3	 reg3RT	 meanRT
HERMINE	1	[1, 2, 3]	[1, 5]	482	[3, 6]	488	[4, 8]	482	484.0
NEKKE	1	[1, 2, 3]	[6, 9]	511	[4, 2]	517	[1, 7]	521	516.33
LIPS	1	[1, 2, 3]	[3, 2]	519	[8, 7]	512	[4, 6]	509	513.33
DREAM	1	[1, 2, 3]	[9, 2]	512	[1, 6]	509	[3, 4]	513	511.33
ARTICHO	1	[1, 2, 3]	[1, 5]	482	[8, 6]	472	[7, 4]	475	476.33
MAKO	2	[1, 3, 2]	[6, 4]	507	[1, 8]	497	[5, 2]	504	502.67
PIPO	2	[1, 3, 2]	[6, 2]	515	[3, 4]	513	[8, 9]	507	511.67
FEYA	2	[1, 3, 2]	[4, 1]	551	[9, 7]	550	[2, 3]	553	551.33
MALI	2	[1, 3, 2]	[3, 4]	513	[1, 7]	521	[6, 9]	511	515.0
0	2	[1, 3, 2]	[5, 2]	504	[1, 8]	497	[6, 4]	507	502.67
BOBO	3	[2, 3, 1]	[1, 4]	495	[2, 8]	491	[3, 6]	488	491.33
FLUTE	3	[2, 3, 1]	[3, 2]	519	[8, 7]	512	[6, 9]	511	514.0
ATMOSPHERE	3	[2, 3, 1]	[1, 5]	482	[4, 8]	482	[3, 6]	488	484.0
ANGELE	3	[2, 3, 1]	[9, 2]	512	[4, 6]	509	[8, 7]	512	511.0
PETOULETTE	3	[2, 3, 1]	[8, 2]	512	[1, 7]	521	[6, 9]	511	514.67
B06	4	[2, 1, 3]	[9, 8]	485	[3, 6]	488	[1, 4]	495	489.33
LOME	4	[2, 1, 3]	[8, 9]	507	[5, 2]	504	[3, 4]	513	508.0
EWINE	4	[2, 1, 3]	[7, 4]	475	[6, 8]	483	[2, 5]	474	477.33
MUSE	4	[2, 1, 3]	[1, 6]	509	[5, 4]	501	[8, 9]	507	505.67
HARLEM	4	[2, 1, 3]	[4, 9]	546	[3, 7]	544	[8, 1]	554	548.0
DORA	5	[3, 1, 2]	[8, 7]	512	[6, 4]	507	[2, 9]	509	509.33
FELIPE	5	[3, 1, 2]	[4, 6]	509	[8, 2]	512	[3, 9]	512	511.0
FANA	5	[3, 1, 2]	[5, 1]	549	[6, 3]	546	[4, 9]	546	547.0
VIOLETTE	5	[3, 1, 2]	[3, 2]	519	[9, 4]	514	[1, 6]	509	514.0
ARIELLE	6	[3, 2, 1]	[6, 2]	515	[3, 9]	512	[1, 7]	521	516.0
BRIGITTE	6	[3, 2, 1]	[7, 6]	516	[3, 9]	512	[4, 2]	517	515.0
CAUET	6	[3, 2, 1]	[8, 7]	512	[2, 4]	513	[1, 6]	509	511.33
KALI	6	[3, 2, 1]	[6, 2]	515	[3, 9]	512	[1, 7]	521	516.0
